,name,cname,symbol,category
105,"Mitsubishi UFJ Financial Group, Inc.","Mitsubishi UFJ Financial Group, Inc.",MUFG,
106,Anheuser-Busch InBev SA/NV,百威英博公司,BUD,饮料
107,Sanofi,赛诺菲-安万特公司,SNY,制药
108,"Anthem, Inc.","Anthem, Inc.",ANTM,
109,"United Parcel Service, Inc.",联合包裹服务公司,UPS,运输
110,"Analog Devices, Inc.",亚德诺半导体,ADI,半导体
111,"BlackRock, Inc.",贝莱德集团,BLK,
112,"Regeneron Pharmaceuticals, Inc.",再生元制药公司,REGN,生物技术
113,"Citigroup, Inc.",花旗集团,C,银行
114,Boston Scientific Corp.,波士顿科学,BSX,
115,HDFC Bank Ltd.,HDFC银行,HDB,银行
116,iPath Series B Bloomberg Livestock Subindex Total Return ETN,iPath Series B Bloomberg Livestock Subindex Total Return ETN,COWB,
117,iPath Series B Bloomberg Tin Subindex Total Return ETN,iPath Series B Bloomberg Tin Subindex Total Return ETN,JJTB,
118,iPath Series B Bloomberg Cotton Subindex Total Return ETN,iPath Series B Bloomberg Cotton Subindex Total Return ETN,BALB,
119,iPath Series B Bloomberg Grains Subindex Total Return ETN,iPath Series B Bloomberg Grains Subindex Total Return ETN,JJGB,
120,KLA Corp.,科磊公司,KLAC,半导体
121,Lockheed Martin Corp.,洛克希德马丁公司,LMT,
122,Vanguard Total International Bond Index Fund,Vanguard国际全债市指数ETF,BNDX,股权
123,The Boeing Co.,波音公司,BA,航空航天/国防
124,Rio Tinto Plc,力拓公司,RIO,采矿
125,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,JJAB,
126,iPath Series B Bloomberg Nickel Subindex Total Return ETN,iPath Series B Bloomberg Nickel Subindex Total Return ETN,BJJN,
127,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,JJUB,
128,Medtronic Plc,美敦力公司,MDT,
129,Chubb Ltd.,安达保险公司,CB,保险
130,Deere & Co.,迪尔股份有限公司,DE,机械-多元
131,"Prologis, Inc.","Prologis, Inc.",PLD,房地产信托投资基金
132,"Arista Networks, Inc.","Arista Networks, Inc.",ANET,计算机硬件
133,"Marsh & McLennan Cos., Inc.",威达信集团,MMC,保险
134,"Palo Alto Networks, Inc.","Palo Alto Networks, Inc.",PANW,电信
135,iPath Series B Bloomberg Softs Subindex Total Return ETN,iPath Series B Bloomberg Softs Subindex Total Return ETN,JJSB,
136,iPath Series B Bloomberg Precious Metals Subindex TR ETN,iPath Series B Bloomberg Precious Metals Subindex TR ETN,JJPB,
137,iPath Series B Bloomberg Sugar Subindex Total Return ETN,iPath Series B Bloomberg Sugar Subindex Total Return ETN,SGGB,
138,Sony Group Corp.,Sony Group Corp.,SONY,
139,iPath Series B Bloomberg Industrial Metals Subindex TR ETN,iPath Series B Bloomberg Industrial Metals Subindex TR ETN,JJMB,
140,iPath Series B Bloomberg Copper Subindex Total Return ETN,iPath Series B Bloomberg Copper Subindex Total Return ETN,JJCB,
141,"Automatic Data Processing, Inc.",自动数据处理公司,ADP,商业服务
142,iPath Series B Bloomberg Coffee Subindex Total Return ETN,iPath Series B Bloomberg Coffee Subindex Total Return ETN,BJO,
143,UBS Group AG,瑞士银行,UBS,
144,iShares Russell 1000 Growth ETF,罗素1000成长指数ETF-iShares,IWF,股权
145,BP Plc,英国石油公司,BP,
146,iPath Series B Bloomberg Platinum Subindex Total Return ETN,iPath Series B Bloomberg Platinum Subindex Total Return ETN,PGMB,
147,"KKR & Co., Inc.","KKR & Co., Inc.",KKR,
148,"Dell Technologies, Inc.",戴尔,DELL,计算机硬件
149,Vanguard Extended Market Index Fund,领航 扩展市场 ETF,VXF,股权
150,The Toronto-Dominion Bank,道明银行,TD,银行
151,"NTT DoCoMo, Inc.",NTT道康姆公司,DCM,电信
152,The Cigna Group,信诺,CI,健康护理服务
153,"CrowdStrike Holdings, Inc.",CrowdStrike,CRWD,
154,"Airbnb, Inc.",爱彼迎,ABNB,
155,ICICI Bank Ltd.,印度工业信贷投资银行,IBN,银行
156,American Tower Corp.,美国电塔,AMT,
157,"Blackstone, Inc.",黑石集团,BX,
158,"Synopsys, Inc.",新思科技,SNPS,软件
159,Starbucks Corp.,星巴克公司,SBUX,零售
160,"Chipotle Mexican Grill, Inc.",墨式烧烤公司,CMG,
161,Equinor ASA,挪威石油公司,STO,
162,"HCA Healthcare, Inc.",HCA控股,HCA,健康护理服务
163,"Mondelez International, Inc.",亿滋国际公司,MDLZ,
164,Petr贸leo Brasileiro SA,巴西石油公司,PBR,油气
165,"Shopify, Inc.","Shopify, Inc.",SHOP,
166,The Southern Co.,美国南方公司,SO,电力
167,"Cadence Design Systems, Inc.",铿腾电子,CDNS,软件
168,RELX Plc,RELX Plc,RELX,
169,GSK Plc,葛兰素史克公司,GSK,生物技术和制药
170,Bristol Myers Squibb Co.,百时美施贵宝公司,BMY,制药
171,Petr贸leo Brasileiro SA,巴西石油公司,PBR.A,
172,Southern Copper Corp.,美国南方铜业公司,SCCO,
173,"Sumitomo Mitsui Financial Group, Inc.",三井住友金融集团,SMFG,银行
174,Amphenol Corp.,安费诺集团,APH,电子
175,"Waste Management, Inc.",美国废物管理公司,WM,
176,"Gilead Sciences, Inc.",吉利德科学公司,GILD,生物技术和制药
177,iShares Core MSCI EAFE ETF,iShares 核心MSCI欧澳远东 ETF,IEFA,股权
